광역시도,기초지자체,배출연도,배출월,배출일,배출량(g),배출횟수
경기도,성남시분당구,2024,1,10,4855150,3141
경기도,성남시분당구,2024,1,11,4583450,2960
경기도,성남시분당구,2024,1,12,4428250,2842
경기도,성남시분당구,2024,1,13,4636650,2923
경기도,성남시분당구,2024,1,14,5235950,3246
경기도,성남시분당구,2024,1,15,4788500,3023
경기도,성남시분당구,2024,1,16,4577700,2989
경기도,성남시분당구,2024,1,17,3751700,2488
경기도,성남시분당구,2024,1,18,4884400,3151
경기도,성남시분당구,2024,1,19,4610850,3015
경기도,성남시분당구,2024,1,20,4137400,2615
경기도,성남시분당구,2024,1,21,5671050,3565
경기도,성남시분당구,2024,1,22,4341650,2800
경기도,성남시분당구,2024,1,23,3859750,2546
경기도,성남시분당구,2024,1,24,4330850,2739
경기도,성남시분당구,2024,1,25,4315200,2819
경기도,성남시분당구,2024,1,26,4350850,2820
경기도,성남시분당구,2024,1,27,4519300,2827
경기도,성남시분당구,2024,1,28,5361600,3375
경기도,성남시분당구,2024,1,29,4549100,2853
경기도,성남시분당구,2024,1,30,4399050,2844
경기도,성남시분당구,2024,1,31,4828650,3092
경기도,성남시수정구,2024,1,1,3826500,2539
경기도,성남시수정구,2024,1,2,2593800,1765
경기도,성남시수정구,2024,1,3,2425550,1703
경기도,성남시수정구,2024,1,4,2853750,2005
경기도,성남시수정구,2024,1,5,2432750,1719
경기도,성남시수정구,2024,1,6,2653450,1896
경기도,성남시수정구,2024,1,7,3505950,2351
경기도,성남시수정구,2024,1,8,2786150,1991
경기도,성남시수정구,2024,1,9,2222550,1555
경기도,성남시수정구,2024,1,10,2676350,1841
경기도,성남시수정구,2024,1,11,2656200,1941
경기도,성남시수정구,2024,1,12,2285800,1683
경기도,성남시수정구,2024,1,13,2551050,1813
경기도,성남시수정구,2024,1,14,3482100,2382
경기도,성남시수정구,2024,1,15,2822550,1942
경기도,성남시수정구,2024,1,16,2328650,1719
경기도,성남시수정구,2024,1,17,2126000,1506
경기도,성남시수정구,2024,1,18,3046850,2129
경기도,성남시수정구,2024,1,19,2387850,1752
경기도,성남시수정구,2024,1,20,2438450,1764
경기도,성남시수정구,2024,1,21,3683450,2548
경기도,성남시수정구,2024,1,22,2495500,1772
경기도,성남시수정구,2024,1,23,2169050,1546
경기도,성남시수정구,2024,1,24,2309850,1667
경기도,성남시수정구,2024,1,25,2669300,1870
경기도,성남시수정구,2024,1,26,2404250,1775
경기도,성남시수정구,2024,1,27,2533250,1810
경기도,성남시수정구,2024,1,28,3464650,2384
경기도,성남시수정구,2024,1,29,2754750,1885
경기도,성남시수정구,2024,1,30,2331850,1712
경기도,성남시수정구,2024,1,31,2317050,1738
경기도,성남시중원구,2024,1,1,1692400,1132
경기도,성남시중원구,2024,1,2,1484500,1003
경기도,성남시중원구,2024,1,3,1282050,966
경기도,성남시중원구,2024,1,4,1246700,927
경기도,성남시중원구,2024,1,5,1271000,971
경기도,성남시중원구,2024,1,6,1316750,950
